Australian Bureau of Statistics

"2011 Census - Cultural and Language Diversity"
"Indigenous Status (INGP) and LANP - 4 Digit Level"
"Counting: Persons, Place of Usual Residence"

Filters:
"Default Summation","Persons, Place of Usual Residence"


"Indigenous Status (INGP)","LANP - 4 Digit Level",
,"Liyagalawumirr",0,
,"Liyagawumirr",0,
,"Dhuwal, nec",0,
,"Dhuwala, nfd",0,
,"Gumatj",4,
,"Gupapuyngu",0,
,"Guyamirrilili",0,
,"Manggalili",0,
,"Wubulkarra",0,
,"Dhuwala, nec",0,
,"Djinang, nfd",0,
,"Wurlaki",0,
,"Djinang, nec",0,
,"Djinba, nfd",0,
,"Ganalbingu",0,
,"Djinba",0,
,"Manyjalpingu",0,
,"Djinba, nec",0,
,"Yakuy, nfd",0,
,"Ritharrngu",0,
,"Wagilak",0,
,"Yakuy, nec",0,
,"Nhangu",0,
,"Yan-nhangu",0,
,"Nhangu, nec",0,
,"Dhuwaya",0,
,"Djangu",0,
,"Madarrpa",0,
,"Warramiri",0,
,"Rirratjingu",0,
,"Other Yolngu Matha, nec",0,
,"Cape York Peninsula Languages, nfd",0,
,"Kuku Yalanji",3,
,"Guugu Yimidhirr",11,
,"Kuuku-Ya'u",0,
,"Wik Mungkan",4,
,"Djabugay",9,
,"Dyirbal",0,
,"Girramay",0,
,"Koko-Bera",0,
,"Kuuk Thayorre",0,
,"Lamalama",0,
,"Yidiny",0,
,"Wik Ngathan",0,
,"Alngith",0,
,"Kugu Muminh",0,
,"Morrobalama",0,
,"Thaynakwith",0,
,"Yupangathi",0,
,"Tjungundji",0,
,"Cape York Peninsula Languages, nec",0,
,"Torres Strait Island Languages, nfd",27,
,"Kalaw Kawaw Ya/Kalaw Lagaw Ya",16,
,"Meriam Mir",3,
,"Yumplatok (Torres Strait Creole)",176,
,"Northern Desert Fringe Area Languages, nfd",0,
,"Bilinarra",0,
,"Gurindji",0,
,"Gurindji Kriol",0,
,"Jaru",0,
,"Light Warlpiri",0,
,"Malngin",0,
,"Mudburra",0,
,"Ngardi",0,
,"Ngarinyman",0,
,"Walmajarri",0,
,"Wanyjirra",0,
,"Warlmanpa",0,
,"Warlpiri",20,
,"Warumungu",0,
,"Northern Desert Fringe Area Languages, nec",0,
,"Arandic, nfd",0,
,"Alyawarr",0,
,"Kaytetye",4,
,"Antekerrepenh",0,
,"Anmatyerr, nfd",0,
,"Central Anmatyerr",0,
,"Eastern Anmatyerr",0,
,"Anmatyerr, nec",3,
,"Arrernte, nfd",0,
,"Eastern Arrernte",0,
,"Western Arrarnta",4,
,"Arrernte, nec",6,
,"Arandic, nec",0,
,"Western Desert Language, nfd",0,
,"Antikarinya",0,
,"Kartujarra",0,
,"Kukatha",0,
,"Kukatja",3,
,"Luritja",14,
,"Manyjilyjarra",0,
,"Martu Wangka",12,
,"Ngaanyatjarra",9,
,"Pintupi",3,
,"Pitjantjatjara",70,
,"Wangkajunga",0,
,"Wangkatha",9,
,"Warnman",0,
,"Yankunytjatjara",3,
,"Yulparija",0,
,"Tjupany",0,
,"Western Desert Language, nec",0,
,"Kimberley Area Languages, nfd",0,
,"Bardi",4,
,"Bunuba",7,
,"Gooniyandi",0,
,"Miriwoong",3,
,"Ngarinyin",0,
,"Nyikina",4,
,"Worla",0,
,"Worrorra",0,
,"Wunambal",0,
,"Yawuru",0,
,"Gambera",0,
,"Jawi",0,
,"Kija",0,
,"Kimberley Area Languages, nec",0,
,"Other Australian Indigenous Languages, nfd",0,
,"Adnymathanha",3,
,"Arabana",0,
,"Bandjalang",5,
,"Banyjima",3,
,"Batjala",0,
,"Bidjara",0,
,"Dhanggatti",0,
,"Diyari",0,
,"Gamilaraay",0,
,"Garuwali",0,
,"Githabul",0,
,"Gumbaynggir",3,
,"Kanai",0,
,"Karajarri",0,
,"Kariyarra",0,
,"Kaurna",9,
,"Kayardild",0,
,"Kriol",58,
,"Lardil",0,
,"Mangala",3,
,"Muruwari",0,
,"Narungga",0,
,"Ngarluma",0,
,"Ngarrindjeri",6,
,"Nyamal",0,
,"Nyangumarta",0,
,"Nyungar",28,
,"Paakantyi",0,
,"Palyku/Nyiyaparli",0,
,"Wajarri",4,
,"Wiradjuri",9,
,"Yindjibarndi",0,
,"Yinhawangka",0,
,"Yorta Yorta",3,
,"Baanbay",0,
,"Badimaya",0,
,"Barababaraba",0,
,"Dadi Dadi",0,
,"Dharawal",0,
,"Djabwurrung",0,
,"Gudjal",0,
,"Keerray-Woorroong",0,
,"Ladji Ladji",0,
,"Mirning",0,
,"Ngatjumaya",0,
,"Waluwarra",0,
,"Wangkangurru",0,
,"Wargamay",0,
,"Wergaia",0,
,"Aboriginal English, so described",14,
,"Other Australian Indigenous Languages, nec",13,
"Aboriginal","Australian Indigenous Languages, nfd",2393,
,"Arnhem Land and Daly River Region Languages, nfd",25,
,"Anindilyakwa",1463,
,"Maung",358,
,"Ngan'gikurunggurr",98,
,"Nunggubuyu",239,
,"Rembarrnga",126,
,"Tiwi",2167,
,"Alawa",14,
,"Dalabon",73,
,"Gudanji",3,
,"Iwaidja",138,
,"Jaminjung",0,
,"Jawoyn",29,
,"Jingulu",25,
,"Kunbarlang",20,
,"Larrakiya",9,
,"Malak Malak",10,
,"Mangarrayi",0,
,"Maringarr",8,
,"Marra",9,
,"Marrithiyel",20,
,"Matngala",0,
,"Murrinh Patha",2393,
,"Na-kara",103,
,"Ndjebbana (Gunavidji)",329,
,"Ngalakgan",0,
,"Ngaliwurru",0,
,"Nungali",11,
,"Wambaya",56,
,"Wardaman",8,
,"Amurdak",0,
,"Garrwa",80,
,"Kuwema",0,
,"Marramaninyshi",0,
,"Ngandi",0,
,"Waanyi",40,
,"Wagiman",30,
,"Yanyuwa",72,
,"Marridan (Maridan)",0,
,"Kuwinjkuan, nfd",0,
,"Gundjeihmi",29,
,"Kune",120,
,"Kuninjku",104,
,"Kunwinjku",1628,
,"Mayali",62,
,"Kunwinjkuan, nec",0,
,"Burarran, nfd",0,
,"Burarra",927,
,"Gun-nartpa",89,
,"Gurr-goni",35,
,"Burraran, nec",0,
,"Arnhem Land and Daly River Region Languages, nec",7,
,"Yolngu Matha, nfd",2256,
,"Dhangu, nfd",27,
,"Galpu",143,
,"Golumala",3,
,"Wangurri",26,
,"Dhangu, nec",0,
,"Dhay'yi, nfd",25,
,"Dhalwangu",38,
,"Djarrwark",0,
,"Dhay'yi, nec",0,
,"Dhuwal, nfd",234,
,"Djambarrpuyngu",2893,
,"Djapu",26,
,"Daatiwuy",8,
,"Marrangu",14,
,"Liyagalawumirr",3,
,"Liyagawumirr",0,
,"Dhuwal, nec",21,
,"Dhuwala, nfd",86,
,"Gumatj",174,
,"Gupapuyngu",159,
,"Guyamirrilili",0,
,"Manggalili",0,
,"Wubulkarra",0,
,"Dhuwala, nec",0,
,"Djinang, nfd",105,
,"Wurlaki",32,
,"Djinang, nec",8,
,"Djinba, nfd",10,
,"Ganalbingu",32,
,"Djinba",0,
,"Manyjalpingu",0,
,"Djinba, nec",0,
,"Yakuy, nfd",0,
,"Ritharrngu",16,
,"Wagilak",3,
,"Yakuy, nec",0,
,"Nhangu",0,
,"Yan-nhangu",0,
,"Nhangu, nec",4,
,"Dhuwaya",283,
,"Djangu",0,
,"Madarrpa",3,
,"Warramiri",7,
,"Rirratjingu",0,
,"Other Yolngu Matha, nec",0,
,"Cape York Peninsula Languages, nfd",9,
,"Kuku Yalanji",247,
,"Guugu Yimidhirr",969,
,"Kuuku-Ya'u",9,
,"Wik Mungkan",1336,
,"Djabugay",23,
,"Dyirbal",12,
,"Girramay",64,
,"Koko-Bera",26,
,"Kuuk Thayorre",128,
,"Lamalama",19,
,"Yidiny",0,
,"Wik Ngathan",4,
,"Alngith",0,
,"Kugu Muminh",0,
,"Morrobalama",0,
,"Thaynakwith",3,
,"Yupangathi",0,
,"Tjungundji",0,
,"Cape York Peninsula Languages, nec",222,
,"Torres Strait Island Languages, nfd",37,
,"Kalaw Kawaw Ya/Kalaw Lagaw Ya",12,
,"Meriam Mir",3,
,"Yumplatok (Torres Strait Creole)",109,
,"Northern Desert Fringe Area Languages, nfd",0,
,"Bilinarra",59,
,"Gurindji",519,
,"Gurindji Kriol",0,
,"Jaru",555,
,"Light Warlpiri",0,
,"Malngin",0,
,"Mudburra",119,
,"Ngardi",0,
,"Ngarinyman",299,
,"Walmajarri",520,
,"Wanyjirra",0,
,"Warlmanpa",19,
,"Warlpiri",2499,
,"Warumungu",277,
,"Northern Desert Fringe Area Languages, nec",0,
,"Arandic, nfd",0,
,"Alyawarr",1845,
,"Kaytetye",169,
,"Antekerrepenh",0,
,"Anmatyerr, nfd",0,
,"Central Anmatyerr",8,
,"Eastern Anmatyerr",3,
,"Anmatyerr, nec",925,
,"Arrernte, nfd",230,
,"Eastern Arrernte",524,
,"Western Arrarnta",478,
,"Arrernte, nec",1283,
,"Arandic, nec",0,
,"Western Desert Language, nfd",0,
,"Antikarinya",5,
,"Kartujarra",115,
,"Kukatha",27,
,"Kukatja",518,
,"Luritja",1475,
,"Manyjilyjarra",344,
,"Martu Wangka",593,
,"Ngaanyatjarra",1028,
,"Pintupi",135,
,"Pitjantjatjara",3352,
,"Wangkajunga",14,
,"Wangkatha",282,
,"Warnman",12,
,"Yankunytjatjara",438,
,"Yulparija",45,
,"Tjupany",0,
,"Western Desert Language, nec",16,
,"Kimberley Area Languages, nfd",4,
,"Bardi",166,
,"Bunuba",89,
,"Gooniyandi",106,
,"Miriwoong",88,
,"Ngarinyin",39,
,"Nyikina",59,
,"Worla",0,
,"Worrorra",0,
,"Wunambal",7,
,"Yawuru",25,
,"Gambera",0,
,"Jawi",0,
,"Kija",169,
,"Kimberley Area Languages, nec",17,
,"Other Australian Indigenous Languages, nfd",3,
,"Adnymathanha",142,
,"Arabana",8,
,"Bandjalang",111,
,"Banyjima",78,
,"Batjala",8,
,"Bidjara",12,
,"Dhanggatti",8,
,"Diyari",8,
,"Gamilaraay",80,
,"Garuwali",0,
,"Githabul",3,
,"Gumbaynggir",57,
,"Kanai",3,
,"Karajarri",39,
,"Kariyarra",5,
,"Kaurna",48,
,"Kayardild",3,
,"Kriol",6292,
,"Lardil",89,
,"Mangala",57,
,"Muruwari",10,
,"Narungga",42,
,"Ngarluma",44,
,"Ngarrindjeri",259,
,"Nyamal",30,
,"Nyangumarta",256,
,"Nyungar",334,
,"Paakantyi",39,
,"Palyku/Nyiyaparli",8,
,"Wajarri",88,
,"Wiradjuri",137,
,"Yindjibarndi",296,
,"Yinhawangka",6,
,"Yorta Yorta",21,
,"Baanbay",0,
,"Badimaya",0,
,"Barababaraba",0,
,"Dadi Dadi",0,
,"Dharawal",16,
,"Djabwurrung",17,
,"Gudjal",0,
,"Keerray-Woorroong",0,
,"Ladji Ladji",0,
,"Mirning",0,
,"Ngatjumaya",0,
,"Waluwarra",11,
,"Wangkangurru",0,
,"Wargamay",0,
,"Wergaia",14,
,"Aboriginal English, so described",843,
,"Other Australian Indigenous Languages, nec",537,
"Torres Strait Islander","Australian Indigenous Languages, nfd",33,
,"Arnhem Land and Daly River Region Languages, nfd",0,
,"Anindilyakwa",0,
,"Maung",3,
,"Ngan'gikurunggurr",0,
,"Nunggubuyu",0,
,"Rembarrnga",0,
,"Tiwi",3,
,"Alawa",0,
,"Dalabon",0,
,"Gudanji",0,
,"Iwaidja",0,
,"Jaminjung",0,
,"Jawoyn",0,
,"Jingulu",0,
,"Kunbarlang",0,
,"Larrakiya",0,
,"Malak Malak",0,
,"Mangarrayi",0,
,"Maringarr",0,
,"Marra",0,
,"Marrithiyel",0,
,"Matngala",0,
,"Murrinh Patha",0,
,"Na-kara",0,
,"Ndjebbana (Gunavidji)",0,
,"Ngalakgan",0,
,"Ngaliwurru",0,
,"Nungali",0,
,"Wambaya",0,
,"Wardaman",0,
,"Amurdak",0,
,"Garrwa",0,
,"Kuwema",0,
,"Marramaninyshi",0,
,"Ngandi",0,
,"Waanyi",0,
,"Wagiman",0,
,"Yanyuwa",0,
,"Marridan (Maridan)",0,
,"Kuwinjkuan, nfd",0,
,"Gundjeihmi",0,
,"Kune",0,
,"Kuninjku",0,
,"Kunwinjku",3,
,"Mayali",0,
,"Kunwinjkuan, nec",0,
,"Burarran, nfd",0,
,"Burarra",0,
,"Gun-nartpa",0,
,"Gurr-goni",0,
,"Burraran, nec",0,
,"Arnhem Land and Daly River Region Languages, nec",0,
,"Yolngu Matha, nfd",4,
,"Dhangu, nfd",0,
,"Galpu",0,
,"Golumala",0,
,"Wangurri",0,
,"Dhangu, nec",0,
,"Dhay'yi, nfd",0,
,"Dhalwangu",0,
,"Djarrwark",0,
,"Dhay'yi, nec",0,
,"Dhuwal, nfd",0,
,"Djambarrpuyngu",0,
,"Djapu",0,
,"Daatiwuy",0,
,"Marrangu",0,
,"Liyagalawumirr",0,
,"Liyagawumirr",0,
,"Dhuwal, nec",0,
,"Dhuwala, nfd",0,
,"Gumatj",0,
,"Gupapuyngu",0,
,"Guyamirrilili",0,
,"Manggalili",0,
,"Wubulkarra",0,
,"Dhuwala, nec",0,
,"Djinang, nfd",0,
,"Wurlaki",0,
,"Djinang, nec",0,
,"Djinba, nfd",0,
,"Ganalbingu",0,
,"Djinba",0,
,"Manyjalpingu",0,
,"Djinba, nec",0,
,"Yakuy, nfd",0,
,"Ritharrngu",0,
,"Wagilak",0,
,"Yakuy, nec",0,
,"Nhangu",0,
,"Yan-nhangu",0,
,"Nhangu, nec",0,
,"Dhuwaya",0,
,"Djangu",0,
,"Madarrpa",0,
,"Warramiri",0,
,"Rirratjingu",0,
,"Other Yolngu Matha, nec",0,
,"Cape York Peninsula Languages, nfd",0,
,"Kuku Yalanji",0,
,"Guugu Yimidhirr",3,
,"Kuuku-Ya'u",0,
,"Wik Mungkan",6,
,"Djabugay",0,
,"Dyirbal",0,
,"Girramay",0,
,"Koko-Bera",0,
,"Kuuk Thayorre",0,
,"Lamalama",0,
,"Yidiny",0,
,"Wik Ngathan",0,
,"Alngith",0,
,"Kugu Muminh",0,
,"Morrobalama",0,
,"Thaynakwith",0,
,"Yupangathi",0,
,"Tjungundji",0,
,"Cape York Peninsula Languages, nec",0,
,"Torres Strait Island Languages, nfd",268,
,"Kalaw Kawaw Ya/Kalaw Lagaw Ya",855,
,"Meriam Mir",171,
,"Yumplatok (Torres Strait Creole)",4017,
,"Northern Desert Fringe Area Languages, nfd",0,
,"Bilinarra",0,
,"Gurindji",0,
,"Gurindji Kriol",0,
,"Jaru",0,
,"Light Warlpiri",0,
,"Malngin",0,
,"Mudburra",0,
,"Ngardi",0,
,"Ngarinyman",0,
,"Walmajarri",0,
,"Wanyjirra",0,
,"Warlmanpa",0,
,"Warlpiri",0,
,"Warumungu",0,
,"Northern Desert Fringe Area Languages, nec",0,
,"Arandic, nfd",0,
,"Alyawarr",0,
,"Kaytetye",0,
,"Antekerrepenh",0,
,"Anmatyerr, nfd",0,
,"Central Anmatyerr",0,
,"Eastern Anmatyerr",0,
,"Anmatyerr, nec",0,
,"Arrernte, nfd",0,
,"Eastern Arrernte",0,
,"Western Arrarnta",0,
,"Arrernte, nec",0,
,"Arandic, nec",0,
,"Western Desert Language, nfd",0,
,"Antikarinya",0,
,"Kartujarra",0,
,"Kukatha",0,
,"Kukatja",0,
,"Luritja",0,
,"Manyjilyjarra",0,
,"Martu Wangka",0,
,"Ngaanyatjarra",0,
,"Pintupi",0,
,"Pitjantjatjara",3,
,"Wangkajunga",0,
,"Wangkatha",0,
,"Warnman",0,
,"Yankunytjatjara",0,
,"Yulparija",0,
,"Tjupany",0,
,"Western Desert Language, nec",0,
,"Kimberley Area Languages, nfd",0,
,"Bardi",0,
,"Bunuba",0,
,"Gooniyandi",0,
,"Miriwoong",0,
,"Ngarinyin",0,
,"Nyikina",0,
,"Worla",0,
,"Worrorra",0,
,"Wunambal",0,
,"Yawuru",0,
,"Gambera",0,
,"Jawi",0,
,"Kija",0,
,"Kimberley Area Languages, nec",0,
,"Other Australian Indigenous Languages, nfd",0,
,"Adnymathanha",0,
,"Arabana",0,
,"Bandjalang",4,
,"Banyjima",0,
,"Batjala",0,
,"Bidjara",0,
,"Dhanggatti",0,
,"Diyari",0,
,"Gamilaraay",0,
,"Garuwali",0,
,"Githabul",0,
,"Gumbaynggir",0,
,"Kanai",0,
,"Karajarri",0,
,"Kariyarra",0,
,"Kaurna",0,
,"Kayardild",0,
,"Kriol",207,
,"Lardil",0,
,"Mangala",0,
,"Muruwari",0,
,"Narungga",0,
,"Ngarluma",0,
,"Ngarrindjeri",0,
,"Nyamal",0,
,"Nyangumarta",0,
,"Nyungar",3,
,"Paakantyi",0,
,"Palyku/Nyiyaparli",0,
,"Wajarri",0,
,"Wiradjuri",0,
,"Yindjibarndi",0,
,"Yinhawangka",0,
,"Yorta Yorta",0,
,"Baanbay",0,
,"Badimaya",0,
,"Barababaraba",0,
,"Dadi Dadi",0,
,"Dharawal",0,
,"Djabwurrung",0,
,"Gudjal",0,
,"Keerray-Woorroong",0,
,"Ladji Ladji",0,
,"Mirning",0,
,"Ngatjumaya",0,
,"Waluwarra",0,
,"Wangkangurru",0,
,"Wargamay",0,
,"Wergaia",0,
,"Aboriginal English, so described",32,
,"Other Australian Indigenous Languages, nec",5,
"Both Aboriginal and Torres Strait Islander","Australian Indigenous Languages, nfd",102,
,"Arnhem Land and Daly River Region Languages, nfd",0,
,"Anindilyakwa",14,
,"Maung",3,
,"Ngan'gikurunggurr",0,
,"Nunggubuyu",0,
,"Rembarrnga",0,
,"Tiwi",26,
,"Alawa",0,
,"Dalabon",0,
,"Gudanji",0,
,"Iwaidja",0,
,"Jaminjung",0,
,"Jawoyn",0,
,"Jingulu",0,
,"Kunbarlang",0,
,"Larrakiya",0,
,"Malak Malak",0,
,"Mangarrayi",0,
,"Maringarr",0,
,"Marra",0,
,"Marrithiyel",0,
,"Matngala",0,
,"Murrinh Patha",17,
,"Na-kara",0,
,"Ndjebbana (Gunavidji)",0,
,"Ngalakgan",0,
,"Ngaliwurru",0,
,"Nungali",0,
,"Wambaya",0,
,"Wardaman",0,
,"Amurdak",0,
,"Garrwa",3,
,"Kuwema",0,
,"Marramaninyshi",0,
,"Ngandi",0,
,"Waanyi",0,
,"Wagiman",0,
,"Yanyuwa",3,
,"Marridan (Maridan)",0,
,"Kuwinjkuan, nfd",0,
,"Gundjeihmi",0,
,"Kune",0,
,"Kuninjku",0,
,"Kunwinjku",3,
,"Mayali",0,
,"Kunwinjkuan, nec",0,
,"Burarran, nfd",0,
,"Burarra",3,
,"Gun-nartpa",0,
,"Gurr-goni",0,
,"Burraran, nec",0,
,"Arnhem Land and Daly River Region Languages, nec",3,
,"Yolngu Matha, nfd",122,
,"Dhangu, nfd",0,
,"Galpu",0,
,"Golumala",0,
,"Wangurri",0,
,"Dhangu, nec",0,
,"Dhay'yi, nfd",0,
,"Dhalwangu",0,
,"Djarrwark",0,
,"Dhay'yi, nec",0,
,"Dhuwal, nfd",0,
,"Djambarrpuyngu",39,
,"Djapu",0,
,"Daatiwuy",0,
,"Marrangu",0,
,"Liyagalawumirr",0,
,"Liyagawumirr",0,
,"Dhuwal, nec",0,
,"Dhuwala, nfd",0,
,"Gumatj",0,
,"Gupapuyngu",0,
,"Guyamirrilili",0,
,"Manggalili",0,
,"Wubulkarra",0,
,"Dhuwala, nec",0,
,"Djinang, nfd",0,
,"Wurlaki",0,
,"Djinang, nec",0,
,"Djinba, nfd",0,
,"Ganalbingu",0,
,"Djinba",0,
,"Manyjalpingu",0,
,"Djinba, nec",0,
,"Yakuy, nfd",0,
,"Ritharrngu",0,
,"Wagilak",0,
,"Yakuy, nec",0,
,"Nhangu",0,
,"Yan-nhangu",0,
,"Nhangu, nec",0,
,"Dhuwaya",0,
,"Djangu",0,
,"Madarrpa",0,
,"Warramiri",0,
,"Rirratjingu",0,
,"Other Yolngu Matha, nec",0,
,"Cape York Peninsula Languages, nfd",0,
,"Kuku Yalanji",5,
,"Guugu Yimidhirr",3,
,"Kuuku-Ya'u",3,
,"Wik Mungkan",11,
,"Djabugay",0,
,"Dyirbal",0,
,"Girramay",0,
,"Koko-Bera",0,
,"Kuuk Thayorre",4,
,"Lamalama",0,
,"Yidiny",0,
,"Wik Ngathan",0,
,"Alngith",0,
,"Kugu Muminh",0,
,"Morrobalama",0,
,"Thaynakwith",0,
,"Yupangathi",0,
,"Tjungundji",0,
,"Cape York Peninsula Languages, nec",22,
,"Torres Strait Island Languages, nfd",74,
,"Kalaw Kawaw Ya/Kalaw Lagaw Ya",97,
,"Meriam Mir",11,
,"Yumplatok (Torres Strait Creole)",1022,
,"Northern Desert Fringe Area Languages, nfd",0,
,"Bilinarra",0,
,"Gurindji",12,
,"Gurindji Kriol",0,
,"Jaru",8,
,"Light Warlpiri",0,
,"Malngin",0,
,"Mudburra",0,
,"Ngardi",0,
,"Ngarinyman",12,
,"Walmajarri",3,
,"Wanyjirra",0,
,"Warlmanpa",0,
,"Warlpiri",16,
,"Warumungu",4,
,"Northern Desert Fringe Area Languages, nec",0,
,"Arandic, nfd",0,
,"Alyawarr",3,
,"Kaytetye",0,
,"Antekerrepenh",0,
,"Anmatyerr, nfd",0,
,"Central Anmatyerr",0,
,"Eastern Anmatyerr",0,
,"Anmatyerr, nec",3,
,"Arrernte, nfd",0,
,"Eastern Arrernte",0,
,"Western Arrarnta",0,
,"Arrernte, nec",6,
,"Arandic, nec",0,
,"Western Desert Language, nfd",0,
,"Antikarinya",0,
,"Kartujarra",0,
,"Kukatha",0,
,"Kukatja",0,
,"Luritja",7,
,"Manyjilyjarra",0,
,"Martu Wangka",0,
,"Ngaanyatjarra",0,
,"Pintupi",0,
,"Pitjantjatjara",44,
,"Wangkajunga",0,
,"Wangkatha",0,
,"Warnman",0,
,"Yankunytjatjara",3,
,"Yulparija",0,
,"Tjupany",0,
,"Western Desert Language, nec",0,
,"Kimberley Area Languages, nfd",0,
,"Bardi",0,
,"Bunuba",0,
,"Gooniyandi",0,
,"Miriwoong",0,
,"Ngarinyin",0,
,"Nyikina",0,
,"Worla",0,
,"Worrorra",0,
,"Wunambal",0,
,"Yawuru",0,
,"Gambera",0,
,"Jawi",0,
,"Kija",0,
,"Kimberley Area Languages, nec",0,
,"Other Australian Indigenous Languages, nfd",0,
,"Adnymathanha",4,
,"Arabana",0,
,"Bandjalang",3,
,"Banyjima",3,
,"Batjala",0,
,"Bidjara",0,
,"Dhanggatti",0,
,"Diyari",0,
,"Gamilaraay",3,
,"Garuwali",0,
,"Githabul",0,
,"Gumbaynggir",3,
,"Kanai",0,
,"Karajarri",0,
,"Kariyarra",0,
,"Kaurna",0,
,"Kayardild",0,
,"Kriol",190,
,"Lardil",0,
,"Mangala",0,
,"Muruwari",0,
,"Narungga",0,
,"Ngarluma",0,
,"Ngarrindjeri",0,
,"Nyamal",3,
,"Nyangumarta",0,
,"Nyungar",3,
,"Paakantyi",0,
,"Palyku/Nyiyaparli",0,
,"Wajarri",0,
,"Wiradjuri",0,
,"Yindjibarndi",0,
,"Yinhawangka",0,
,"Yorta Yorta",0,
,"Baanbay",0,
,"Badimaya",0,
,"Barababaraba",0,
,"Dadi Dadi",0,
,"Dharawal",0,
,"Djabwurrung",0,
,"Gudjal",0,
,"Keerray-Woorroong",0,
,"Ladji Ladji",0,
,"Mirning",0,
,"Ngatjumaya",0,
,"Waluwarra",0,
,"Wangkangurru",0,
,"Wargamay",0,
,"Wergaia",0,
,"Aboriginal English, so described",167,
,"Other Australian Indigenous Languages, nec",24,
"Not stated","Australian Indigenous Languages, nfd",48,
,"Arnhem Land and Daly River Region Languages, nfd",0,
,"Anindilyakwa",3,
,"Maung",0,
,"Ngan'gikurunggurr",0,
,"Nunggubuyu",6,
,"Rembarrnga",0,
,"Tiwi",3,
,"Alawa",0,
,"Dalabon",0,
,"Gudanji",0,
,"Iwaidja",0,
,"Jaminjung",0,
,"Jawoyn",0,
,"Jingulu",0,
,"Kunbarlang",0,
,"Larrakiya",0,
,"Malak Malak",0,
,"Mangarrayi",0,
,"Maringarr",0,
,"Marra",0,
,"Marrithiyel",0,
,"Matngala",0,
,"Murrinh Patha",0,
,"Na-kara",0,
,"Ndjebbana (Gunavidji)",0,
,"Ngalakgan",0,
,"Ngaliwurru",0,
,"Nungali",0,
,"Wambaya",0,
,"Wardaman",0,
,"Amurdak",0,
,"Garrwa",0,
,"Kuwema",0,
,"Marramaninyshi",0,
,"Ngandi",0,
,"Waanyi",0,
,"Wagiman",0,
,"Yanyuwa",0,
,"Marridan (Maridan)",0,
,"Kuwinjkuan, nfd",0,
,"Gundjeihmi",0,
,"Kune",0,
,"Kuninjku",0,
,"Kunwinjku",11,
,"Mayali",0,
,"Kunwinjkuan, nec",0,
,"Burarran, nfd",0,
,"Burarra",0,
,"Gun-nartpa",0,
,"Gurr-goni",0,
,"Burraran, nec",0,
,"Arnhem Land and Daly River Region Languages, nec",0,
,"Yolngu Matha, nfd",27,
,"Dhangu, nfd",0,
,"Galpu",3,
,"Golumala",0,
,"Wangurri",0,
,"Dhangu, nec",0,
,"Dhay'yi, nfd",0,
,"Dhalwangu",0,
,"Djarrwark",0,
,"Dhay'yi, nec",0,
,"Dhuwal, nfd",0,
,"Djambarrpuyngu",16,
,"Djapu",0,
,"Daatiwuy",0,
,"Marrangu",0,
,"Liyagalawumirr",0,
,"Liyagawumirr",0,
,"Dhuwal, nec",0,
,"Dhuwala, nfd",0,
,"Gumatj",0,
,"Gupapuyngu",0,
,"Guyamirrilili",0,
,"Manggalili",0,
,"Wubulkarra",0,
,"Dhuwala, nec",0,
,"Djinang, nfd",0,
,"Wurlaki",0,
,"Djinang, nec",0,
,"Djinba, nfd",0,
