Australian Bureau of Statistics

"2016 Census - Cultural Diversity"
"INGP Indigenous Status and LANP - 4 Digit Level"
"Counting: Persons, Place of Usual Residence"

Filters:
"Default Summation","Persons, Place of Usual Residence"


"INGP Indigenous Status","LANP - 4 Digit Level",
,"Miriwoong",0,
,"Ngarinyin",0,
,"Nyikina",0,
,"Worla",0,
,"Worrorra",0,
,"Wunambal",0,
,"Yawuru",4,
,"Gambera",0,
,"Jawi",0,
,"Kija",3,
,"Kimberley Area Languages, nec",0,
,"Other Australian Indigenous Languages, nfd",3,
,"Adnymathanha",5,
,"Arabana",0,
,"Bandjalang",7,
,"Banyjima",0,
,"Batjala",0,
,"Bidjara",0,
,"Dhanggatti",0,
,"Diyari",0,
,"Gamilaraay",9,
,"Garuwali",0,
,"Githabul",0,
,"Gumbaynggir",8,
,"Kanai",0,
,"Karajarri",0,
,"Kariyarra",0,
,"Kaurna",8,
,"Kayardild",0,
,"Kriol",35,
,"Lardil",0,
,"Mangala",0,
,"Muruwari",3,
,"Narungga",0,
,"Ngarluma",0,
,"Ngarrindjeri",11,
,"Nyamal",0,
,"Nyangumarta",0,
,"Nyungar",28,
,"Paakantyi",4,
,"Palyku/Nyiyaparli",0,
,"Wajarri",4,
,"Wiradjuri",19,
,"Yindjibarndi",3,
,"Yinhawangka",0,
,"Yorta Yorta",9,
,"Baanbay",0,
,"Badimaya",0,
,"Barababaraba",0,
,"Dadi Dadi",0,
,"Dharawal",0,
,"Djabwurrung",0,
,"Gudjal",0,
,"Keerray-Woorroong",0,
,"Ladji Ladji",0,
,"Mirning",0,
,"Ngatjumaya",0,
,"Waluwarra",0,
,"Wangkangurru",3,
,"Wargamay",0,
,"Wergaia",0,
,"Yugambeh",0,
,"Aboriginal English, so described",21,
,"Other Australian Indigenous Languages, nec",17,
"Aboriginal","Australian Indigenous Languages, nfd",7527,
,"Arnhem Land and Daly River Region Languages, nfd",0,
,"Anindilyakwa",1461,
,"Maung",369,
,"Ngan'gikurunggurr",27,
,"Nunggubuyu",270,
,"Rembarrnga",41,
,"Tiwi",1982,
,"Alawa",4,
,"Dalabon",0,
,"Gudanji",87,
,"Iwaidja",115,
,"Jaminjung",0,
,"Jawoyn",9,
,"Jingulu",19,
,"Kunbarlang",0,
,"Larrakiya",14,
,"Malak Malak",10,
,"Mangarrayi",0,
,"Maringarr",7,
,"Marra",8,
,"Marrithiyel",15,
,"Matngala",0,
,"Murrinh Patha",1943,
,"Na-kara",57,
,"Ndjebbana (Gunavidji)",178,
,"Ngalakgan",0,
,"Ngaliwurru",25,
,"Nungali",0,
,"Wambaya",60,
,"Wardaman",42,
,"Amurdak",0,
,"Garrwa",130,
,"Kuwema",0,
,"Marramaninyshi",0,
,"Ngandi",0,
,"Waanyi",20,
,"Wagiman",19,
,"Yanyuwa",31,
,"Marridan (Maridan)",0,
,"Kunwinjkuan, nfd",0,
,"Gundjeihmi",45,
,"Kune",178,
,"Kuninjku",55,
,"Kunwinjku",1704,
,"Mayali",145,
,"Kunwinjkuan, nec",0,
,"Burarran, nfd",0,
,"Burarra",981,
,"Gun-nartpa",55,
,"Gurr-goni",46,
,"Burarran, nec",0,
,"Arnhem Land and Daly River Region Languages, nec",15,
,"Yolngu Matha, nfd",649,
,"Dhangu, nfd",43,
,"Galpu",90,
,"Golumala",0,
,"Wangurri",55,
,"Dhangu, nec",5,
,"Dhay'yi, nfd",21,
,"Dhalwangu",61,
,"Djarrwark",0,
,"Dhay'yi, nec",0,
,"Dhuwal, nfd",261,
,"Djambarrpuyngu",4159,
,"Djapu",87,
,"Daatiwuy",36,
,"Marrangu",6,
,"Liyagalawumirr",53,
,"Liyagawumirr",12,
,"Dhuwal, nec",27,
,"Dhuwala, nfd",127,
,"Gumatj",120,
,"Gupapuyngu",143,
,"Guyamirrilili",3,
,"Manggalili",0,
,"Wubulkarra",17,
,"Dhuwala, nec",0,
,"Djinang, nfd",104,
,"Wurlaki",13,
,"Djinang, nec",7,
,"Djinba, nfd",16,
,"Ganalbingu",59,
,"Djinba",0,
,"Manyjalpingu",4,
,"Djinba, nec",0,
,"Yakuy, nfd",0,
,"Ritharrngu",25,
,"Wagilak",21,
,"Yakuy, nec",0,
,"Nhangu",0,
,"Yan-nhangu",0,
,"Nhangu, nec",3,
,"Dhuwaya",335,
,"Djangu",0,
,"Madarrpa",11,
,"Warramiri",18,
,"Rirratjingu",19,
,"Other Yolngu Matha, nec",0,
,"Cape York Peninsula Languages, nfd",12,
,"Kuku Yalanji",303,
,"Guugu Yimidhirr",753,
,"Kuuku-Ya'u",7,
,"Wik Mungkan",421,
,"Djabugay",49,
,"Dyirbal",7,
,"Girramay",37,
,"Koko-Bera",10,
,"Kuuk Thayorre",204,
,"Lamalama",0,
,"Yidiny",18,
,"Wik Ngathan",0,
,"Alngith",0,
,"Kugu Muminh",0,
,"Morrobalama",0,
,"Thaynakwith",0,
,"Yupangathi",0,
,"Tjungundji",0,
,"Cape York Peninsula Languages, nec",825,
,"Torres Strait Island Languages, nfd",13,
,"Kalaw Kawaw Ya/Kalaw Lagaw Ya",9,
,"Meriam Mir",21,
,"Yumplatok (Torres Strait Creole)",269,
,"Northern Desert Fringe Area Languages, nfd",0,
,"Bilinarra",41,
,"Gurindji",390,
,"Gurindji Kriol",3,
,"Jaru",218,
,"Light Warlpiri",0,
,"Malngin",5,
,"Mudburra",90,
,"Ngardi",3,
,"Ngarinyman",226,
,"Walmajarri",280,
,"Wanyjirra",0,
,"Warlmanpa",26,
,"Warlpiri",2266,
,"Warumungu",313,
,"Northern Desert Fringe Area Languages, nec",0,
,"Arandic, nfd",0,
,"Alyawarr",1544,
,"Kaytetye",121,
,"Antekerrepenh",0,
,"Anmatyerr, nfd",70,
,"Central Anmatyerr",0,
,"Eastern Anmatyerr",3,
,"Anmatyerr, nec",522,
,"Arrernte, nfd",674,
,"Eastern Arrernte",387,
,"Western Arrarnta",426,
,"Arrernte, nec",818,
,"Arandic, nec",0,
,"Western Desert Languages, nfd",0,
,"Antikarinya",0,
,"Kartujarra",19,
,"Kukatha",17,
,"Kukatja",130,
,"Luritja",929,
,"Manyjilyjarra",313,
,"Martu Wangka",711,
,"Ngaanyatjarra",1085,
,"Pintupi",147,
,"Pitjantjatjara",3020,
,"Wangkajunga",12,
,"Wangkatha",207,
,"Warnman",0,
,"Yankunytjatjara",409,
,"Yulparija",15,
,"Tjupany",10,
,"Western Desert Languages, nec",0,
,"Kimberley Area Languages, nfd",0,
,"Bardi",311,
,"Bunuba",35,
,"Gooniyandi",135,
,"Miriwoong",146,
,"Ngarinyin",33,
,"Nyikina",61,
,"Worla",0,
,"Worrorra",9,
,"Wunambal",9,
,"Yawuru",57,
,"Gambera",0,
,"Jawi",0,
,"Kija",164,
,"Kimberley Area Languages, nec",23,
,"Other Australian Indigenous Languages, nfd",96,
,"Adnymathanha",132,
,"Arabana",12,
,"Bandjalang",99,
,"Banyjima",106,
,"Batjala",20,
,"Bidjara",22,
,"Dhanggatti",39,
,"Diyari",0,
,"Gamilaraay",94,
,"Garuwali",0,
,"Githabul",3,
,"Gumbaynggir",69,
,"Kanai",3,
,"Karajarri",43,
,"Kariyarra",16,
,"Kaurna",44,
,"Kayardild",6,
,"Kriol",6788,
,"Lardil",61,
,"Mangala",69,
,"Muruwari",13,
,"Narungga",29,
,"Ngarluma",40,
,"Ngarrindjeri",301,
,"Nyamal",30,
,"Nyangumarta",210,
,"Nyungar",442,
,"Paakantyi",36,
,"Palyku/Nyiyaparli",7,
,"Wajarri",136,
,"Wiradjuri",428,
,"Yindjibarndi",376,
,"Yinhawangka",36,
,"Yorta Yorta",52,
,"Baanbay",0,
,"Badimaya",0,
,"Barababaraba",0,
,"Dadi Dadi",0,
,"Dharawal",25,
,"Djabwurrung",0,
,"Gudjal",4,
,"Keerray-Woorroong",7,
,"Ladji Ladji",0,
,"Mirning",0,
,"Ngatjumaya",0,
,"Waluwarra",0,
,"Wangkangurru",0,
,"Wargamay",0,
,"Wergaia",12,
,"Yugambeh",20,
,"Aboriginal English, so described",594,
,"Other Australian Indigenous Languages, nec",346,
"Torres Strait Islander","Australian Indigenous Languages, nfd",733,
,"Arnhem Land and Daly River Region Languages, nfd",0,
,"Anindilyakwa",4,
,"Maung",0,
,"Ngan'gikurunggurr",0,
,"Nunggubuyu",0,
,"Rembarrnga",0,
,"Tiwi",6,
,"Alawa",0,
,"Dalabon",0,
,"Gudanji",0,
,"Iwaidja",0,
,"Jaminjung",0,
,"Jawoyn",0,
,"Jingulu",0,
,"Kunbarlang",0,
,"Larrakiya",0,
,"Malak Malak",0,
,"Mangarrayi",0,
,"Maringarr",0,
,"Marra",0,
,"Marrithiyel",0,
,"Matngala",0,
,"Murrinh Patha",0,
,"Na-kara",0,
,"Ndjebbana (Gunavidji)",0,
,"Ngalakgan",0,
,"Ngaliwurru",0,
,"Nungali",0,
,"Wambaya",0,
,"Wardaman",0,
,"Amurdak",0,
,"Garrwa",0,
,"Kuwema",0,
,"Marramaninyshi",0,
,"Ngandi",0,
,"Waanyi",0,
,"Wagiman",0,
,"Yanyuwa",0,
,"Marridan (Maridan)",0,
,"Kunwinjkuan, nfd",0,
,"Gundjeihmi",0,
,"Kune",0,
,"Kuninjku",0,
,"Kunwinjku",0,
,"Mayali",0,
,"Kunwinjkuan, nec",0,
,"Burarran, nfd",0,
,"Burarra",0,
,"Gun-nartpa",0,
,"Gurr-goni",0,
,"Burarran, nec",0,
,"Arnhem Land and Daly River Region Languages, nec",0,
,"Yolngu Matha, nfd",5,
,"Dhangu, nfd",0,
,"Galpu",0,
,"Golumala",0,
,"Wangurri",0,
,"Dhangu, nec",0,
,"Dhay'yi, nfd",0,
,"Dhalwangu",0,
,"Djarrwark",0,
,"Dhay'yi, nec",0,
,"Dhuwal, nfd",0,
,"Djambarrpuyngu",9,
,"Djapu",0,
,"Daatiwuy",0,
,"Marrangu",0,
,"Liyagalawumirr",0,
,"Liyagawumirr",0,
,"Dhuwal, nec",0,
,"Dhuwala, nfd",0,
,"Gumatj",0,
,"Gupapuyngu",0,
,"Guyamirrilili",0,
,"Manggalili",0,
,"Wubulkarra",0,
,"Dhuwala, nec",0,
,"Djinang, nfd",0,
,"Wurlaki",0,
,"Djinang, nec",0,
,"Djinba, nfd",0,
,"Ganalbingu",0,
,"Djinba",0,
,"Manyjalpingu",0,
,"Djinba, nec",0,
,"Yakuy, nfd",0,
,"Ritharrngu",0,
,"Wagilak",0,
,"Yakuy, nec",0,
,"Nhangu",0,
,"Yan-nhangu",0,
,"Nhangu, nec",0,
,"Dhuwaya",0,
,"Djangu",0,
,"Madarrpa",0,
,"Warramiri",0,
,"Rirratjingu",0,
,"Other Yolngu Matha, nec",0,
,"Cape York Peninsula Languages, nfd",3,
,"Kuku Yalanji",0,
,"Guugu Yimidhirr",0,
,"Kuuku-Ya'u",0,
,"Wik Mungkan",7,
,"Djabugay",0,
,"Dyirbal",0,
,"Girramay",0,
,"Koko-Bera",0,
,"Kuuk Thayorre",0,
,"Lamalama",0,
,"Yidiny",0,
,"Wik Ngathan",0,
,"Alngith",0,
,"Kugu Muminh",0,
,"Morrobalama",0,
,"Thaynakwith",0,
,"Yupangathi",0,
,"Tjungundji",0,
,"Cape York Peninsula Languages, nec",0,
,"Torres Strait Island Languages, nfd",228,
,"Kalaw Kawaw Ya/Kalaw Lagaw Ya",756,
,"Meriam Mir",185,
,"Yumplatok (Torres Strait Creole)",4278,
,"Northern Desert Fringe Area Languages, nfd",0,
,"Bilinarra",0,
,"Gurindji",4,
,"Gurindji Kriol",0,
,"Jaru",0,
,"Light Warlpiri",0,
,"Malngin",0,
,"Mudburra",0,
,"Ngardi",0,
,"Ngarinyman",0,
,"Walmajarri",0,
,"Wanyjirra",0,
,"Warlmanpa",0,
,"Warlpiri",0,
,"Warumungu",0,
,"Northern Desert Fringe Area Languages, nec",0,
,"Arandic, nfd",0,
,"Alyawarr",0,
,"Kaytetye",0,
,"Antekerrepenh",0,
,"Anmatyerr, nfd",0,
,"Central Anmatyerr",0,
,"Eastern Anmatyerr",0,
,"Anmatyerr, nec",0,
,"Arrernte, nfd",0,
,"Eastern Arrernte",0,
,"Western Arrarnta",0,
,"Arrernte, nec",0,
,"Arandic, nec",0,
,"Western Desert Languages, nfd",0,
,"Antikarinya",0,
,"Kartujarra",0,
,"Kukatha",0,
,"Kukatja",0,
,"Luritja",0,
,"Manyjilyjarra",0,
,"Martu Wangka",7,
,"Ngaanyatjarra",0,
,"Pintupi",0,
,"Pitjantjatjara",5,
,"Wangkajunga",0,
,"Wangkatha",0,
,"Warnman",0,
,"Yankunytjatjara",0,
,"Yulparija",0,
,"Tjupany",0,
,"Western Desert Languages, nec",0,
,"Kimberley Area Languages, nfd",0,
,"Bardi",0,
,"Bunuba",0,
,"Gooniyandi",0,
,"Miriwoong",0,
,"Ngarinyin",4,
,"Nyikina",0,
,"Worla",0,
,"Worrorra",0,
,"Wunambal",0,
,"Yawuru",0,
,"Gambera",0,
,"Jawi",0,
,"Kija",0,
,"Kimberley Area Languages, nec",0,
,"Other Australian Indigenous Languages, nfd",0,
,"Adnymathanha",0,
,"Arabana",0,
,"Bandjalang",0,
,"Banyjima",0,
,"Batjala",0,
,"Bidjara",0,
,"Dhanggatti",0,
,"Diyari",0,
,"Gamilaraay",0,
,"Garuwali",0,
,"Githabul",0,
,"Gumbaynggir",0,
,"Kanai",0,
,"Karajarri",0,
,"Kariyarra",0,
,"Kaurna",0,
,"Kayardild",0,
,"Kriol",73,
,"Lardil",0,
,"Mangala",0,
,"Muruwari",0,
,"Narungga",0,
,"Ngarluma",0,
,"Ngarrindjeri",0,
,"Nyamal",0,
,"Nyangumarta",0,
,"Nyungar",0,
,"Paakantyi",0,
,"Palyku/Nyiyaparli",0,
,"Wajarri",0,
,"Wiradjuri",0,
,"Yindjibarndi",0,
,"Yinhawangka",0,
,"Yorta Yorta",0,
,"Baanbay",0,
,"Badimaya",0,
,"Barababaraba",0,
,"Dadi Dadi",0,
,"Dharawal",0,
,"Djabwurrung",0,
,"Gudjal",0,
,"Keerray-Woorroong",0,
,"Ladji Ladji",0,
,"Mirning",0,
,"Ngatjumaya",0,
,"Waluwarra",0,
,"Wangkangurru",0,
,"Wargamay",0,
,"Wergaia",0,
,"Yugambeh",0,
,"Aboriginal English, so described",4,
,"Other Australian Indigenous Languages, nec",0,
"Both Aboriginal and Torres Strait Islander","Australian Indigenous Languages, nfd",367,
,"Arnhem Land and Daly River Region Languages, nfd",0,
,"Anindilyakwa",13,
,"Maung",0,
,"Ngan'gikurunggurr",0,
,"Nunggubuyu",3,
,"Rembarrnga",0,
,"Tiwi",37,
,"Alawa",0,
,"Dalabon",0,
,"Gudanji",3,
,"Iwaidja",3,
,"Jaminjung",0,
,"Jawoyn",0,
,"Jingulu",6,
,"Kunbarlang",0,
,"Larrakiya",0,
,"Malak Malak",0,
,"Mangarrayi",0,
,"Maringarr",0,
,"Marra",0,
,"Marrithiyel",0,
,"Matngala",0,
,"Murrinh Patha",28,
,"Na-kara",0,
,"Ndjebbana (Gunavidji)",0,
,"Ngalakgan",0,
,"Ngaliwurru",0,
,"Nungali",0,
,"Wambaya",0,
,"Wardaman",3,
,"Amurdak",0,
,"Garrwa",0,
,"Kuwema",0,
,"Marramaninyshi",0,
,"Ngandi",0,
,"Waanyi",0,
,"Wagiman",0,
,"Yanyuwa",0,
,"Marridan (Maridan)",0,
,"Kunwinjkuan, nfd",0,
,"Gundjeihmi",0,
,"Kune",0,
,"Kuninjku",0,
,"Kunwinjku",3,
,"Mayali",0,
,"Kunwinjkuan, nec",0,
,"Burarran, nfd",0,
,"Burarra",16,
,"Gun-nartpa",0,
,"Gurr-goni",0,
,"Burarran, nec",0,
,"Arnhem Land and Daly River Region Languages, nec",0,
,"Yolngu Matha, nfd",3,
,"Dhangu, nfd",0,
,"Galpu",0,
,"Golumala",0,
,"Wangurri",3,
,"Dhangu, nec",0,
,"Dhay'yi, nfd",0,
,"Dhalwangu",0,
,"Djarrwark",0,
,"Dhay'yi, nec",0,
,"Dhuwal, nfd",0,
,"Djambarrpuyngu",103,
,"Djapu",0,
,"Daatiwuy",0,
,"Marrangu",0,
,"Liyagalawumirr",0,
,"Liyagawumirr",0,
,"Dhuwal, nec",0,
,"Dhuwala, nfd",0,
,"Gumatj",0,
,"Gupapuyngu",0,
,"Guyamirrilili",0,
,"Manggalili",0,
,"Wubulkarra",0,
,"Dhuwala, nec",0,
,"Djinang, nfd",0,
,"Wurlaki",0,
,"Djinang, nec",0,
,"Djinba, nfd",0,
,"Ganalbingu",0,
,"Djinba",0,
,"Manyjalpingu",0,
,"Djinba, nec",0,
,"Yakuy, nfd",0,
,"Ritharrngu",0,
,"Wagilak",0,
,"Yakuy, nec",0,
,"Nhangu",0,
,"Yan-nhangu",0,
,"Nhangu, nec",0,
,"Dhuwaya",0,
,"Djangu",0,
,"Madarrpa",0,
,"Warramiri",0,
,"Rirratjingu",0,
,"Other Yolngu Matha, nec",0,
,"Cape York Peninsula Languages, nfd",0,
,"Kuku Yalanji",11,
,"Guugu Yimidhirr",14,
,"Kuuku-Ya'u",0,
,"Wik Mungkan",14,
,"Djabugay",0,
,"Dyirbal",3,
,"Girramay",0,
,"Koko-Bera",0,
,"Kuuk Thayorre",0,
,"Lamalama",0,
,"Yidiny",0,
,"Wik Ngathan",0,
,"Alngith",0,
,"Kugu Muminh",0,
,"Morrobalama",0,
,"Thaynakwith",0,
,"Yupangathi",0,
,"Tjungundji",0,
,"Cape York Peninsula Languages, nec",46,
,"Torres Strait Island Languages, nfd",83,
,"Kalaw Kawaw Ya/Kalaw Lagaw Ya",168,
,"Meriam Mir",13,
,"Yumplatok (Torres Strait Creole)",1457,
,"Northern Desert Fringe Area Languages, nfd",0,
,"Bilinarra",0,
,"Gurindji",0,
,"Gurindji Kriol",0,
,"Jaru",0,
,"Light Warlpiri",0,
,"Malngin",0,
,"Mudburra",0,
,"Ngardi",0,
,"Ngarinyman",0,
,"Walmajarri",0,
,"Wanyjirra",0,
,"Warlmanpa",0,
,"Warlpiri",14,
,"Warumungu",3,
,"Northern Desert Fringe Area Languages, nec",0,
,"Arandic, nfd",0,
,"Alyawarr",0,
,"Kaytetye",0,
,"Antekerrepenh",0,
,"Anmatyerr, nfd",31,
,"Central Anmatyerr",0,
,"Eastern Anmatyerr",0,
,"Anmatyerr, nec",4,
,"Arrernte, nfd",12,
,"Eastern Arrernte",0,
,"Western Arrarnta",3,
,"Arrernte, nec",3,
,"Arandic, nec",0,
,"Western Desert Languages, nfd",0,
,"Antikarinya",0,
,"Kartujarra",0,
,"Kukatha",0,
,"Kukatja",3,
,"Luritja",11,
,"Manyjilyjarra",0,
,"Martu Wangka",0,
,"Ngaanyatjarra",3,
,"Pintupi",0,
,"Pitjantjatjara",26,
,"Wangkajunga",0,
,"Wangkatha",0,
,"Warnman",0,
,"Yankunytjatjara",6,
,"Yulparija",0,
,"Tjupany",0,
,"Western Desert Languages, nec",0,
,"Kimberley Area Languages, nfd",0,
,"Bardi",0,
,"Bunuba",0,
,"Gooniyandi",3,
,"Miriwoong",4,
,"Ngarinyin",0,
,"Nyikina",0,
,"Worla",0,
,"Worrorra",0,
,"Wunambal",0,
,"Yawuru",0,
,"Gambera",0,
,"Jawi",0,
,"Kija",0,
,"Kimberley Area Languages, nec",0,
,"Other Australian Indigenous Languages, nfd",3,
,"Adnymathanha",0,
,"Arabana",0,
,"Bandjalang",4,
,"Banyjima",0,
,"Batjala",0,
,"Bidjara",0,
,"Dhanggatti",0,
,"Diyari",0,
,"Gamilaraay",0,
,"Garuwali",0,
,"Githabul",0,
,"Gumbaynggir",4,
,"Kanai",0,
,"Karajarri",0,
,"Kariyarra",3,
,"Kaurna",0,
,"Kayardild",3,
,"Kriol",243,
,"Lardil",7,
,"Mangala",0,
,"Muruwari",0,
,"Narungga",0,
,"Ngarluma",0,
,"Ngarrindjeri",0,
,"Nyamal",0,
,"Nyangumarta",0,
,"Nyungar",7,
,"Paakantyi",0,
,"Palyku/Nyiyaparli",0,
,"Wajarri",0,
,"Wiradjuri",9,
,"Yindjibarndi",0,
,"Yinhawangka",0,
,"Yorta Yorta",4,
,"Baanbay",0,
,"Badimaya",0,
,"Barababaraba",0,
,"Dadi Dadi",0,
,"Dharawal",0,
,"Djabwurrung",0,
,"Gudjal",0,
,"Keerray-Woorroong",0,
,"Ladji Ladji",0,
,"Mirning",0,
,"Ngatjumaya",0,
,"Waluwarra",0,
,"Wangkangurru",0,
,"Wargamay",0,
,"Wergaia",0,
,"Yugambeh",0,
,"Aboriginal English, so described",30,
,"Other Australian Indigenous Languages, nec",9,
"Not stated","Australian Indigenous Languages, nfd",27,
,"Arnhem Land and Daly River Region Languages, nfd",0,
,"Anindilyakwa",3,
,"Maung",0,
,"Ngan'gikurunggurr",0,
,"Nunggubuyu",0,
,"Rembarrnga",0,
,"Tiwi",0,
,"Alawa",0,
,"Dalabon",0,
,"Gudanji",0,
,"Iwaidja",0,
,"Jaminjung",0,
,"Jawoyn",0,
,"Jingulu",0,
,"Kunbarlang",0,
,"Larrakiya",0,
,"Malak Malak",0,
,"Mangarrayi",0,
,"Maringarr",0,
,"Marra",0,
,"Marrithiyel",0,
,"Matngala",0,
,"Murrinh Patha",0,
,"Na-kara",0,
,"Ndjebbana (Gunavidji)",0,
,"Ngalakgan",0,
,"Ngaliwurru",0,
,"Nungali",0,
,"Wambaya",0,
,"Wardaman",0,
,"Amurdak",0,
,"Garrwa",0,
,"Kuwema",0,
,"Marramaninyshi",0,
,"Ngandi",0,
,"Waanyi",0,
,"Wagiman",0,
,"Yanyuwa",0,
,"Marridan (Maridan)",0,
,"Kunwinjkuan, nfd",0,
,"Gundjeihmi",0,
,"Kune",0,
,"Kuninjku",0,
,"Kunwinjku",0,
,"Mayali",0,
,"Kunwinjkuan, nec",0,
,"Burarran, nfd",0,
,"Burarra",0,
,"Gun-nartpa",0,
,"Gurr-goni",0,
,"Burarran, nec",0,
,"Arnhem Land and Daly River Region Languages, nec",0,
,"Yolngu Matha, nfd",3,
,"Dhangu, nfd",0,
,"Galpu",0,
,"Golumala",0,
,"Wangurri",0,
,"Dhangu, nec",0,
,"Dhay'yi, nfd",0,
,"Dhalwangu",0,
,"Djarrwark",0,
,"Dhay'yi, nec",0,
,"Dhuwal, nfd",0,
,"Djambarrpuyngu",0,
,"Djapu",0,
,"Daatiwuy",0,
,"Marrangu",0,
,"Liyagalawumirr",0,
,"Liyagawumirr",0,
,"Dhuwal, nec",0,
,"Dhuwala, nfd",0,
,"Gumatj",0,
,"Gupapuyngu",0,
,"Guyamirrilili",0,
,"Manggalili",0,
,"Wubulkarra",0,
,"Dhuwala, nec",0,
,"Djinang, nfd",0,
,"Wurlaki",0,
